Nationality,Gender,customer_age,years_in_operation,has_insurance,active_loan_holder,has_internet_banking,has_debit_card,credit_card_ownership,compliance_income_tax,current_problem_cash_flow,liquidity_constraint,uses_informal_lender,uses_friends_family_savings,funding_access_barrier,mobile_wallet_access,extends_customer_credit,inventory_shrinkage_risk,financial_tracking,log_gross_income,log_operating_expense,log_business_sales,profit_margin,revenue_efficiency,financial_stress_score,formality_score,digital_access_score,insurance_gap,extends_credit,survey_coverage,cluster
Uganda,Female,34.0,6.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,Don't know,No,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,5.993961427306569,7.496097345175956,7.783640596221253,-1.5021359178693867,0.682400578853965,2.5,0.0,1,0,1,0.5,High_Risk_Informal
Ghana,Female,31.0,4.0,No,Never had,Never had,Have now,Never had,No,No,Yes,Never had,Have now,Yes,Never had,Yes - sometimes,Not Surveyed,Yes - always,7.601402334583733,11.002116507732017,11.32961541978256,-3.400714173148284,0.6165157692094332,3.0,1.0,0,0,1,1.0,Large_Informal
Ghana,Male,36.0,3.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Used to have but don't have now,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - sometimes,7.601402334583733,7.824445930877619,8.594339400592892,-0.22304359629388593,0.7922799076832738,2.0,0.0,1,0,1,1.0,Large_Informal
Kenya,Female,28.0,12.0,No,Never had,Never had,Never had,Never had,No,No,No,Never had,Never had,Yes,Never had,No,Yes,No,11.289794413577894,10.12667110305036,9.210440366976517,1.163123310527535,1.1057108222376302,1.0,0.0,0,1,0,1.0,Large_Informal
Uganda,Male,57.0,4.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes - always,7.313886831633462,9.169622538697624,9.798182590890704,-1.855735707064162,0.6773257231085741,5.0,0.0,1,0,0,0.5,High_Risk_Informal
Ghana,Male,32.0,0.0,No,Never had,Never had,Have now,Never had,No,Yes,No,Never had,Never had,Yes,Never had,Yes - sometimes,Not Surveyed,Yes - sometimes,8.853808274977197,5.993961427306569,5.5254529391317835,2.859846847670628,1.3568112983978096,2.0,1.0,0,0,1,1.0,Large_Informal
Uganda,Male,20.0,4.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,Yes,No,4.394449154672439,6.175867270105761,6.8679744089702925,-1.781418115433322,0.5585235698863381,5.0,0.0,1,1,1,0.5,High_Risk_Informal
Kenya,Male,51.0,5.0,No,Never had,Never had,Never had,Never had,No,Yes,No,Never had,Have now,Yes,Have now,Yes - sometimes,No,No,11.002116507732017,9.61587214452889,10.463131911491967,1.3862443632031276,0.9597827707715921,3.0,0.0,1,0,1,1.0,Large_Informal
Uganda,Male,28.0,7.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,Yes,No,5.017279836814924,7.273092595999522,7.783640596221253,-2.2558127591845976,0.5712073236436122,5.0,0.0,1,1,0,0.5,High_Risk_Informal
Ghana,Female,40.0,1.0,No,Never had,Never had,Never had,Never had,Yes,No,Yes,Never had,Never had,Yes,Never had,No,Not Surveyed,No,6.2166061010848646,9.210440366976517,9.61587214452889,-2.9938342658916524,0.5855954194294551,2.0,1.0,0,0,0,1.0,Large_Informal
Kenya,Female,35.0,5.0,No,Never had,Never had,Never had,Have now,No,No,Yes,Never had,Never had,No,Have now,Yes - sometimes,Yes,Yes - always,12.765691290604371,12.04355959836804,16.118095750958314,0.7221316922363314,0.7457424865665747,1.0,0.0,1,1,1,1.0,Large_Informal
Kenya,Male,37.0,5.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Used to have but don't have now,Yes - sometimes,Yes,No,13.45883704259595,12.73670383776449,15.943742382861155,0.7221332048314615,0.7943249335642499,2.0,0.0,0,1,1,1.0,Large_Informal
Kenya,Male,20.0,2.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,No,Have now,Yes - sometimes,No,Yes - always,12.388398368982115,14.416542997861878,14.873301199334291,-2.0281446288797635,0.7804550681304826,1.0,0.0,1,0,1,1.0,Large_Informal
DRC,Not Surveyed,25.0,1.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,6.2166061010848646,5.993961427306569,6.2166061010848646,0.22264467377829522,0.8614307077325903,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
Kenya,Male,52.0,8.0,No,Never had,Never had,Never had,Never had,No,No,No,Never had,Never had,No,Never had,No,Yes,No,11.695255355062795,11.350418300109132,13.017005083966255,0.344837054953663,0.8343619257469443,0.0,0.0,0,1,0,1.0,Large_Informal
Kenya,Male,39.0,4.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Never had,No,Yes,Yes - always,13.304686600863562,12.100717685412471,10.819798284210286,1.2039689154510906,1.125627212998795,2.0,0.0,0,1,0,1.0,Large_Informal
Ghana,Female,41.0,1.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Never had,Yes - sometimes,Not Surveyed,No,7.824445930877619,9.078065332666364,10.950824090522445,-1.253619401788745,0.6547201993444758,3.0,0.0,0,0,1,1.0,Large_Informal
DRC,Not Surveyed,29.0,1.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,Don't know,Yes,Not Surveyed,Never had,Never had,No,Have now,Not Surveyed,Yes,Not Surveyed,8.517393171418904,6.68586094706836,7.313886831633462,1.8315322243505445,1.0244778818748317,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
Ghana,Female,76.0,30.0,No,Never had,Never had,Have now,Never had,No,No,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,No,8.006700845440367,10.596659732783579,11.407576060361786,-2.5899588873432116,0.645307415927854,2.0,1.0,1,0,0,1.0,Established_Veterans
DRC,Not Surveyed,59.0,2.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,3.713572066704308,4.2626798770413155,4.709530201312334,-0.5491078103370075,0.6504163978063807,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
Uganda,Female,41.0,4.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,Yes,No,5.5254529391317835,7.496097345175956,7.0909098220799835,-1.9706444060441726,0.6829210880651392,5.0,0.0,1,1,0,0.5,High_Risk_Informal
DRC,Not Surveyed,33.0,7.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,Don't know,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,8.412054873292933,5.707110264748875,6.2166061010848646,2.704944608544057,1.1656524903068157,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
Uganda,Male,36.0,13.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,3.4339872044851463,5.5254529391317835,5.993961427306569,-2.091465734646637,0.490993157479795,2.5,0.0,1,0,1,0.5,High_Risk_Informal
Ghana,Male,39.0,7.0,No,Never had,Never had,Never had,Never had,Yes,Yes,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - sometimes,7.496097345175956,6.803505257608338,7.496097345175956,0.6925920875676184,0.8822989003806795,3.0,1.0,1,0,0,1.0,Large_Informal
Ghana,Male,36.0,0.0,No,Never had,Have now,Never had,Never had,No,Yes,Yes,Never had,Used to have but don't have now,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - always,9.61587214452889,11.407576060361786,11.561725152903833,-1.7917039158328958,0.7654897736960943,3.0,1.0,2,0,1,1.0,Large_Informal
DRC,Not Surveyed,18.0,3.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Never had,No,Have now,Not Surveyed,Yes,Not Surveyed,3.4339872044851463,4.2626798770413155,5.303304908059076,-0.8286926725561692,0.5447915426230817,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
Uganda,Male,80.0,30.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,4.61512051684126,7.0909098220799835,8.006700845440367,-2.475789305238724,0.5124096598786957,5.0,0.0,1,0,1,0.5,Established_Veterans
DRC,Not Surveyed,35.0,1.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,8.006700845440367,7.601402334583733,8.006700845440367,0.4052985108566336,0.8889715538285865,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
Uganda,Male,51.0,21.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,4.2626798770413155,6.293419278846481,6.734591659972948,-2.0307394018051657,0.5511189296651536,5.0,0.0,1,0,1,0.5,High_Risk_Informal
Uganda,Female,38.0,2.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,Yes,No,5.993961427306569,10.896757843893464,11.407576060361786,-4.902796416586895,0.48308883202863034,5.0,0.0,1,1,1,0.5,High_Risk_Informal
Kenya,Female,29.0,5.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Have now,Yes,Have now,Yes - sometimes,Yes,No,10.819798284210286,11.289794413577894,11.695255355062795,-0.46999612936760826,0.852271024221298,4.0,0.0,1,1,1,1.0,Large_Informal
Ghana,Female,67.0,15.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Used to have but don't have now,Never had,Yes,Have now,No,Not Surveyed,No,6.2166061010848646,5.860786223465865,4.584967478670572,0.35581987761899914,1.1130962041993206,2.0,0.0,1,0,0,1.0,Established_Veterans
Uganda,Male,19.0,0.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes - sometimes,4.61512051684126,6.580639137284949,9.287394001418473,-1.9655186204436896,0.44861901043207886,5.0,0.0,1,0,0,0.5,High_Risk_Informal
Kenya,Male,25.0,5.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,No,Never had,Yes - sometimes,No,No,13.122365377402328,11.849404844423074,15.607270193858982,1.2729605329792548,0.7901578780993581,1.0,0.0,0,0,1,1.0,Large_Informal
Uganda,Female,27.0,0.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,Yes,No,3.258096538021482,4.795790545596741,5.198497031265826,-1.5376940075752592,0.5256268610902488,5.0,0.0,1,1,0,0.5,High_Risk_Informal
Uganda,Male,54.0,10.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes - always,6.55250788703459,8.699681400989514,9.798182590890704,-2.1471735139549235,0.6068158073713492,5.0,0.0,1,0,0,0.5,High_Risk_Informal
Ghana,Female,52.0,1.0,No,Never had,Never had,Used to have but don't have now,Never had,No,No,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - sometimes,7.313886831633462,7.0909098220799835,7.313886831633462,0.2229770095534782,0.8797193153754385,2.0,0.0,1,0,1,1.0,Large_Informal
Kenya,Male,23.0,10.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Never had,No,Yes,Yes - always,14.316286451937186,13.815511557963774,14.316286451937186,0.5007748939734125,0.9347100223583555,2.0,0.0,0,1,0,1.0,Large_Informal
DRC,Not Surveyed,63.0,33.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,6.90875477931522,6.398594934535208,6.90875477931522,0.5101598447800129,0.8735578447045257,1.25,1.6666666666666665,1,1,0,0.7,Established_Veterans
Uganda,Male,30.0,3.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - always,5.017279836814924,6.985641817639208,8.006700845440367,-1.9683619808242838,0.557060784288724,5.0,0.0,1,0,1,0.5,High_Risk_Informal
Kenya,Female,36.0,11.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Have now,No,Have now,Yes - sometimes,Yes,No,13.28787951079572,12.100717685412471,13.199326270390594,1.1871618253832494,0.9358105629634355,2.0,0.0,1,1,1,1.0,Large_Informal
Kenya,Male,55.0,5.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,No,Never had,Yes - sometimes,Yes,No,11.849404844423074,12.976183182038383,13.235693848424024,-1.1267783376153098,0.8323728348326958,1.0,0.0,0,1,1,1.0,Large_Informal
Ghana,Female,33.0,0.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Have now,Yes,Have now,No,Not Surveyed,Yes - always,7.601402334583733,8.802522498284421,9.680406499268875,-1.201120163700688,0.711714702535347,4.0,0.0,1,0,0,1.0,Large_Informal
Ghana,Female,32.0,0.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Used to have but don't have now,Yes,Have now,Yes - sometimes,Not Surveyed,No,6.111467339502679,5.860786223465865,6.85751406254539,0.2506811160368132,0.7777863699454721,2.0,0.0,1,0,1,1.0,Large_Informal
DRC,Not Surveyed,59.0,10.0,Not Surveyed,Have now,Used to have but don't have now,Have now,Not Surveyed,Yes,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Yes,Have now,Not Surveyed,Yes,Not Surveyed,11.918397239722838,11.461642696843066,11.51293546492023,0.45675454287977146,0.9524861111236314,2.5,3.333333333333333,1,1,0,0.7,Stable_Formal
Kenya,Male,33.0,14.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Have now,Yes,Have now,Yes - sometimes,No,Yes - always,13.45883704259595,11.918397239722838,13.42246945133505,1.540439802873113,0.9331853388914685,4.0,0.0,1,0,1,1.0,Large_Informal
Kenya,Female,47.0,10.0,No,Never had,Never had,Never had,Never had,No,No,No,Never had,Never had,Yes,Never had,No,No,Yes - always,9.210440366976517,8.517393171418904,8.987321812850125,0.6930471955576127,0.9222132358973315,1.0,0.0,0,0,0,1.0,Large_Informal
Ghana,Male,54.0,2.0,No,Never had,Never had,Have now,Never had,No,No,Yes,Have now,Have now,Yes,Never had,No,Not Surveyed,Yes - sometimes,7.937731775260109,7.8636512654486515,8.517393171418904,0.07408050981145742,0.8340237323700592,4.0,1.0,0,0,0,1.0,Large_Informal
Ghana,Male,50.0,15.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Never had,Yes - sometimes,Not Surveyed,Yes - sometimes,8.699681400989514,10.308985993422082,11.002116507732017,-1.6093045924325686,0.7248456049718394,3.0,0.0,0,0,1,1.0,Established_Veterans
Ghana,Female,36.0,2.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Never had,Yes - sometimes,Not Surveyed,No,7.601402334583733,9.210440366976517,10.463131911491967,-1.6090380323927835,0.663117409210236,3.0,0.0,0,0,1,1.0,Large_Informal
DRC,Not Surveyed,46.0,17.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,8.612685172875459,8.412054873292933,9.210440366976517,0.2006302995825262,0.8435175039787064,1.25,1.6666666666666665,1,1,0,0.7,Established_Veterans
Uganda,Female,38.0,3.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,Yes,No,3.9318256327243257,5.8888779583328805,6.8679744089702925,-1.9570523256085548,0.4997252695994593,5.0,0.0,1,1,1,0.5,High_Risk_Informal
Uganda,Female,47.0,1.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,Yes,No,4.394449154672439,6.580639137284949,7.496097345175956,-2.18618998261251,0.5172314977261397,5.0,0.0,1,1,1,0.5,High_Risk_Informal
Ghana,Male,55.0,1.0,No,Have now,Never had,Have now,Never had,No,No,No,Never had,Never had,Yes,Have now,Yes - always,Not Surveyed,Yes - sometimes,11.156264806643742,12.206077645517674,12.948012371209098,-1.0498128388739314,0.7998462081717131,1.0,1.0,1,0,1,1.0,Large_Informal
Ghana,Female,61.0,11.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,No,6.90875477931522,7.313886831633462,7.824445930877619,-0.40513205231824134,0.7829108856728099,3.0,0.0,1,0,1,1.0,Established_Veterans
Kenya,Female,40.0,7.0,No,Never had,Never had,Never had,Never had,No,No,No,Never had,Never had,Yes,Never had,Yes - sometimes,No,No,13.28787951079572,11.918397239722838,15.607270193858982,1.369482271072883,0.80012424412227,1.0,0.0,0,0,1,1.0,Large_Informal
DRC,Not Surveyed,35.0,2.0,Not Surveyed,Have now,Have now,Used to have but don't have now,Not Surveyed,Yes,Yes,Not Surveyed,Used to have but don't have now,Never had,No,Have now,Not Surveyed,Yes,Not Surveyed,7.601402334583733,8.517393171418904,8.699681400989514,-0.9159908368351708,0.783675465238299,1.25,3.333333333333333,2,1,0,0.7,Stable_Formal
DRC,Not Surveyed,50.0,4.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Never had,Yes,Have now,Not Surveyed,Yes,Not Surveyed,4.584967478670572,7.601402334583733,9.472781556562168,-3.016434855913161,0.43779844484559743,2.5,1.6666666666666665,1,1,0,0.7,Stable_Formal
Ghana,Female,43.0,8.0,No,Never had,Never had,Have now,Never had,No,Yes,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - sometimes,7.824445930877619,10.778977123006351,11.184435286790631,-2.954531192128732,0.6421673017017246,3.0,1.0,1,0,1,1.0,Large_Informal
Ghana,Female,33.0,5.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Never had,Yes - sometimes,Not Surveyed,Yes - sometimes,7.8636512654486515,8.517393171418904,8.987321812850125,-0.6537419059702527,0.7873633605488645,3.0,0.0,0,0,1,1.0,Large_Informal
Uganda,Female,29.0,2.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,Don't know,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,Yes,Yes - always,8.160803920954665,7.560601162768557,8.343077871169383,0.600202758186108,0.8734599061982619,5.0,0.0,1,1,1,0.5,High_Risk_Informal
Kenya,Male,21.0,5.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,No,Never had,Yes - sometimes,No,No,13.710151153416941,9.90353755128617,10.308985993422082,3.8066136021307706,1.212323647884214,1.0,0.0,0,0,1,1.0,Large_Informal
Ghana,Male,34.0,5.0,No,Used to have but don't have now,Have now,Used to have but don't have now,Never had,No,Yes,Yes,Never had,Used to have but don't have now,Yes,Have now,No,Not Surveyed,Yes - always,7.313886831633462,7.313886831633462,8.517393171418904,0.0,0.7684758525682582,3.0,1.0,2,0,0,1.0,Large_Informal
Uganda,Male,37.0,5.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,5.993961427306569,8.517393171418904,8.517393171418904,-2.523431744112335,0.6297902502658674,5.0,0.0,1,0,1,0.5,High_Risk_Informal
Uganda,Male,36.0,2.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes - sometimes,4.61512051684126,6.660575149839686,7.0909098220799835,-2.0454546329984264,0.5704081022194387,5.0,0.0,1,0,0,0.5,High_Risk_Informal
DRC,Not Surveyed,45.0,1.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,Yes,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,6.2166061010848646,8.699681400989514,6.2166061010848646,-2.483075299904649,0.8614307077325903,1.25,3.333333333333333,1,1,0,0.7,Stable_Formal
Ghana,Male,37.0,4.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Have now,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,No,5.303304908059076,6.68586094706836,7.0909098220799835,-1.382556039009284,0.6554645923238978,4.0,0.0,1,0,1,1.0,Large_Informal
