Customer_ID,Nationality,customer_age,attitude_business_stability_environment,attitude_closure_concerned,compliance_income_tax,underinsurance_perception,insurance_unaffordability_perception,gross_income,operating_expense,business_sales,years_in_operation,"automotive_insurance
",mobile_wallet_access,current_problem_cash_flow,liquidity_constraint,Gender,extends_customer_credit,success_contentment,credit_card_ownership,financial_tracking,business_insurability_doubt,insurance_necessity_attitude,has_insurance,funding_access_barrier,referral_marketing,active_loan_holder,has_internet_banking,has_debit_card,inventory_shrinkage_risk,business_age_months,medical_insurance,funeral_insurance,uses_friends_family_savings,uses_informal_lender
ID_65R96K,Ghana,36,Yes,Yes,No,Yes,Yes,2000,2500,5400,3,Never had,Have now,0,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,Yes,No,,Yes,Never had,Never had,Never had,,4,Never had,Never had,Used to have but don’t have now,Never had
ID_1AYAQR,Kenya,28,Don’t know or N/A,Yes,No,Yes,Yes,80000,25000,10000,12,,Never had,No,No,Female,No,No,Never had,No,Yes,Don?t know / doesn?t apply,No,Yes,No,Never had,Never had,Never had,Yes,,,,,
ID_1PV9FA,Uganda,57,Yes,No,No,No,Yes,1500,9600,18000,,Never had,,,Yes,Male,No,No,Never had,"Yes, always",No,Yes,No,,,,,,No,1,Never had,Never had,,
ID_84XYJO,Ghana,32,Yes,Yes,No,No,Yes,7000,400,250,0,Never had,Never had,Yes,No,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",No,No,No,Yes,Yes,Never had,Never had,Have now,,11,Have now,Have now,Never had,Never had
ID_PQV6UU,Uganda,20,Yes,No,No,No,Yes,80,480,960,4,Never had,,,Yes,Male,"Yes, sometimes",Yes,Never had,No,Yes,No,No,,,,,,Yes,0,Never had,Never had,,
ID_Z9LPHU,Kenya,51,Don’t know or N/A,Yes,No,Don't know,Don't know,60000,15000,35000,5,Never had,Have now,Yes,No,Male,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,Yes,No,Never had,Never had,Never had,No,,Never had,Never had,,
ID_Q77YY5,Uganda,28,Yes,No,No,No,No,150,1440,2400,7,Never had,,,Yes,Male,No,Yes,Never had,No,No,Yes,No,,,,,,Yes,3,Never had,Never had,,
ID_NZ5X51,Ghana,40,No,Yes,Yes,Yes,Yes,500,10000,15000,1,Never had,Never had,0,Yes,Female,No,No,Never had,No,Yes,No,No,Yes,Yes,Never had,Never had,Never had,,4,Never had,Never had,Never had,Never had
ID_29ASAJ,Kenya,35,Don’t know or N/A,No,No,No,No,350000,170000,10000000,,,Have now,No,Yes,Female,"Yes, sometimes",No,Have now,Yes,No,Yes,No,No,No,Never had,Never had,Never had,Yes,5,,,Never had,Never had
ID_5YU3TT,Kenya,37,Yes,No,No,Don't know,Don't know,700000,340000,8400000,,,Used to have but don't have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,Yes,No,Never had,Never had,Never had,Yes,3,,,,
ID_LUUJ7K,Kenya,20,Yes,No,No,Don't know,Yes,240000,1824000,2880000,2,,Have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,No,No,Never had,Never had,Never had,No,,,,,
ID_7DXJ17,DRC,25,Yes,No,No,Don't know,Yes,500,400,500,1,Never had,,Yes,,,,,,,,,,No,Yes,,,,,,,,Used to have but don't have now,Used to have but don't have now
ID_3AH4EM,Kenya,52,Don’t know or N/A,Yes,No,No,No,120000,85000,450000,8,,Never had,No,No,Male,No,No,Never had,No,No,Yes,No,No,No,Never had,Never had,Never had,Yes,,,,,
ID_SYM7D0,Kenya,39,Yes,No,No,No,No,600000,180000,50000,4,,Never had,No,Yes,Male,No,Yes,Never had,Yes,No,Yes,No,Yes,No,Never had,Never had,Never had,Yes,,,,,
ID_1M3JLZ,Ghana,41,No,No,No,Yes,Yes,2500,8760,57000,1,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,Yes,Yes,No,,,Never had,Never had,Never had,,3,Never had,Never had,Never had,Never had
ID_YS0WI4,DRC,29,Yes,Yes,Don’t know,Yes,Yes,5000,800,1500,1,Never had,,Yes,,,,,,,,,,No,Yes,,,,Yes,,,,Never had,Never had
ID_N42X2E,Ghana,76,Yes,No,No,No,No,3000,40000,90000,30,Never had,Have now,0,Yes,Female,No,Yes,Never had,No,Yes,Yes,No,,Yes,Never had,Never had,Have now,,1,Never had,Never had,Never had,Never had
ID_Q3Q5PC,DRC,59,No,Yes,No,Don't know,Don't know,40,70,110,2,Never had,,,,,,,,,,,,No,,,,,,,,,Used to have but don't have now,Used to have but don't have now
ID_FTM6CM,Uganda,41,Yes,No,No,No,Yes,250,1800,1200,4,Never had,Have now,,Yes,Female,No,Yes,Never had,No,Don't know,Yes,No,,,,,,Yes,0,Never had,Never had,,
ID_KK1R6L,DRC,33,Yes,Yes,Don’t know,Yes,Yes,4500,300,500,7,Never had,,,,,,,,,,,,No,Yes,,,,,,,,Used to have but don't have now,Used to have but don't have now
ID_LCSVFX,Uganda,36,No,Yes,No,Don't know,Don't know,30,250,400,13,Never had,,,No,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",Don't know, Do not know / N‎/A,No,,,,,,No,0,Never had,Never had,,
ID_HEYCE4,Ghana,39,Yes,Yes,Yes,No,Yes,1800,900,1800,7,Never had,Have now,Yes,Yes,Male,No,Yes,Never had,"Yes, sometimes",Yes,Yes,No,Yes,Yes,Never had,Never had,Never had,,11,Never had,Never had,Never had,Never had
ID_O5URTX,Ghana,36,No,Yes,No,Yes,Yes,15000,90000,105000,0,Used to have but don’t have now,Have now,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, always",Yes,Yes,No,Yes,Yes,Never had,Have now,Never had,,7,Never had,Have now,Used to have but don’t have now,Never had
ID_WNLEPH,DRC,18,Yes,Yes,No,No,Yes,30,70,200,3,Never had,,,,,,,,,,,,No,Yes,,,,Yes,,,,Never had,Used to have but don't have now
ID_K3FN3L,Uganda,82,No,No,No,Yes,Yes,100,1200,3000,30,Never had,,,Yes,Male,"Yes, sometimes",No,Never had,No,Yes,No,No,,,,,,No,3,Never had,Never had,,
ID_0ABGB8,DRC,35,No,Yes,No,No,No,3000,2000,3000,1,Never had,Have now,,,,,,,,,,,No,Yes,,,,,,,,Used to have but don't have now,Used to have but don't have now
ID_SXAAQF,Uganda,51,Yes,No,No,Yes,Yes,70,540,840,21,Never had,,,Yes,Male,"Yes, sometimes",No,Never had,No,Yes,No,No,,,,,,No,2,Never had,Never had,,
ID_7A3B0C,Uganda,38,Yes,No,No,Don't know,Don't know,400,54000,90000,2,Never had,,,Yes,Female,"Yes, sometimes",No,Never had,No,Don't know, Do not know / N‎/A,No,,,,,,Yes,0,Never had,Never had,,
ID_IBRGE8,Kenya,29,No,No,No,Yes,Yes,50000,80000,120000,,,Have now,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,No,Yes,No,Yes,No,Never had,Never had,Never had,Yes,6,,,Have now,Never had
ID_VHU4BA,Ghana,67,Yes,Yes,No,Yes,Yes,500,350,50,15,Never had,Have now,0,Yes,Female,No,Yes,Never had,No,Yes,No,No,,,Never had,Never had,Never had,,5,Never had,Never had,Never had,Used to have but don’t have now
ID_YE5LLX,Uganda,19,Yes,No,No,No,Yes,100,720,10800,0,Never had,,,Yes,Male,No,Yes,Never had,"Yes, sometimes",No,Yes,No,,,,,,No,3,Used to have but don't have now,Used to have but don't have now,,
ID_TPG7UV,Kenya,25,Don’t know or N/A,No,No,Don't know,Don't know,500000,140000,6000000,,,Never had,No,Yes,Male,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,No,No,Never had,Never had,Never had,No,10,,,,
ID_BLZZBL,Uganda,27,Yes,No,No,Yes,Yes,25,120,180,0,Never had,,Yes,Yes,Female,No,No,Never had,No,No,Yes,No,,,,,,Yes,3,Never had,Have now,,
ID_GQ3A7C,Uganda,54,Yes,No,No,Yes,Yes,700,6000,18000,10,Never had,,,Yes,Male,No,No,Never had,"Yes, always",Yes,Yes,No,,,,,,No,4,Never had,Never had,,
ID_G3MWU4,Ghana,52,Yes,No,No,Yes,Yes,1500,1200,1500,1,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,Yes,No,Yes,Yes,Never had,Never had,Used to have but don’t have now,,10,Never had,Have now,Never had,Never had
ID_TIVEH8,Kenya,23,Don’t know or N/A,No,No,Don't know,Don't know,1650000,1000000,1650000,10,,Never had,No,Yes,Male,No,Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,Yes,No,Never had,Never had,Never had,Yes,,,,,
ID_DR756S,DRC,63,No,Yes,No,Don't know,Yes,1000,600,1000,33,Never had,Have now,,,,,,,,,,,No,Yes,,,,Yes,,,,Used to have but don't have now,Used to have but don't have now
ID_D4KUC8,Uganda,30,Yes,No,No,No,No,150,1080,3000,3,Never had,,,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, always",No,Yes,No,,,,,,No,0,Never had,Never had,,
ID_X9MY4I,Kenya,36,No,Yes,No,Don't know,Yes,590000,180000,540000,11,,Have now,No,Yes,Female,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,No,No,Never had,Never had,Never had,Yes,,,,Have now,Never had
ID_KHBEDB,Kenya,55,Don’t know or N/A,Yes,No,Yes,No,140000,432000,560000,,,Never had,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,No,No,Never had,Never had,Never had,Yes,3,,,,
ID_XKWQ0Y,Ghana,33,No,No,No,Yes,Yes,2000,6650,16000,0,Never had,Have now,Yes,Yes,Female,No,Yes,Never had,"Yes, always",No,Yes,No,Yes,Yes,Never had,Never had,Never had,,1,Never had,Never had,Have now,Never had
ID_HLU8M8,Ghana,32,Yes,No,No,Yes,Yes,450,350,950,0,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,No,No,No,No,,Yes,Never had,Never had,Never had,,9,Never had,Never had,Used to have but don’t have now,Never had
ID_IJXM5L,DRC,59,Yes,No,Yes,No,Yes,150000,95000,100000,10,Never had,Have now,,,,,,,,,,,Yes,,Have now,Used to have but don't have now,Have now,,,,,Used to have but don't have now,Used to have but don't have now
ID_PUD6W0,Kenya,33,No,No,No,No,No,700000,150000,675000,14,,Have now,Yes,Yes,Male,"Yes, sometimes",No,Never had,Yes,No,Yes,No,Yes,No,Never had,Never had,Never had,No,,,,,
ID_E9ZWVI,Kenya,47,Don’t know or N/A,Yes,No,Don't know,Don't know,10000,5000,8000,10,,Never had,No,No,Female,No,Yes,Never had,Yes,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,Yes,No,Never had,Never had,Never had,No,,,,,
ID_7ODKEF,Ghana,54,Yes,No,No,No,Yes,2800,2600,5000,2,Never had,Never had,0,Yes,Male,No,No,Never had,"Yes, sometimes",No,Yes,No,,Yes,Never had,Never had,Have now,,6,Never had,Never had,Have now,Have now
ID_4R9V4K,Ghana,50,No,No,No,Yes,Yes,6000,30000,60000,15,Never had,Never had,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",Yes,No,No,Yes,Yes,Never had,Never had,Never had,,5,Never had,Never had,Never had,Never had
ID_NTBZ3M,Ghana,36,Yes,Yes,No,No,Yes,2000,10000,35000,2,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,No,Yes,No,Yes,Yes,Never had,Never had,Never had,,6,Never had,Never had,Never had,Never had
ID_WUDRGT,DRC,46,Don’t know or N/A,No,No,No,No,5500,4500,10000,17,Never had,Have now,Yes,,,,,,,,,,No,Yes,,,,,,,,Used to have but don't have now,Used to have but don't have now
ID_X4SVKK,Uganda,38,No,Yes,No,No,Yes,50,360,960,3,Never had,,,Yes,Female,"Yes, sometimes",Yes,Never had,No,No,Yes,No,,,,,,Yes,2,Never had,Never had,,
ID_AXTA8R,Uganda,47,Yes,No,No,No,Yes,80,720,1800,1,Never had,Have now,,Yes,Female,"Yes, sometimes",No,Never had,No,Yes,Yes,No,,,,,,Yes,0,Never had,Have now,,
ID_EFQJG0,Ghana,55,Yes,Yes,No,No,Yes,70000,200000,420000,1,Never had,Have now,0,No,Male,"Yes, always",Yes,Never had,"Yes, sometimes",No,Yes,No,,Yes,Have now,Never had,Have now,,2,Never had,Never had,Never had,Never had
ID_Z43XZ6,Ghana,61,Yes,No,No,Yes,Yes,1000,1500,2500,11,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,Yes,No,No,Yes,Yes,Never had,Never had,Never had,,6,Never had,Have now,Never had,Never had
ID_NRQ277,Kenya,40,Don’t know or N/A,No,No,Don't know,Don't know,590000,150000,6000000,7,,Never had,No,No,Female,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,Yes,No,Never had,Never had,Never had,No,,,,,
ID_ZWTY25,DRC,35,No,No,Yes,No,Yes,2000,5000,6000,2,Never had,Have now,,,,,,,,,,,No,Yes,Have now,Have now,Used to have but don't have now,,,,,Never had,Used to have but don't have now
ID_OYHDOW,DRC,50,Yes,No,No,Don't know,Don't know,97,2000,13000,4,Never had,Have now,,,,,,,,,,,Yes,Yes,Used to have but don't have now,Used to have but don't have now,Have now,,,,,Never had,Used to have but don't have now
ID_PLBBB0,Ghana,43,Yes,No,No,Yes,Yes,2500,48000,72000,8,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",Yes,No,No,Yes,Yes,Never had,Never had,Have now,,2,Never had,Have now,Never had,Never had
ID_8UE1MY,Ghana,33,Yes,Yes,No,No,No,2600,5000,8000,5,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,"Yes, sometimes",No,No,No,Yes,Yes,Never had,Never had,Never had,,4,Never had,Never had,Never had,Never had
ID_G0AHWT,Uganda,29,Yes,No,Don’t know,No,Yes,3500,1920,4200,2,Never had,,,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, always",No,Yes,No,,,,,,Yes,3,Never had,Never had,,
ID_46OOJJ,Kenya,21,Don’t know or N/A,No,No,No,No,900000,20000,30000,,,Never had,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,No,No,Never had,Never had,Never had,No,2,,,,
ID_6N6975,Ghana,34,Yes,Yes,No,Yes,No,1500,1500,5000,5,Never had,Have now,Yes,Yes,Male,No,No,Never had,"Yes, always",Yes,Yes,No,,,Used to have but don’t have now,Have now,Used to have but don’t have now,,2,Never had,Have now,Used to have but don’t have now,Never had
ID_OQUC0V,Uganda,37,Yes,No,No,Yes,Yes,400,5000,5000,5,Never had,Have now,,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,Yes,No,,,,,,No,2,Have now,Have now,,
ID_THVYTG,Uganda,36,No,No,No,No,Yes,100,780,1200,2,Never had,,,Yes,Male,No,No,Never had,"Yes, sometimes",No,Yes,No,,,,,,No,2,Never had,Never had,,
ID_QAW4TE,DRC,45,No,No,Yes,No,Don't know,500,6000,500,1,Never had,Have now,,,,,,,,,,,No,,,,,Yes,,,,Used to have but don't have now,Used to have but don't have now
ID_B4IBHI,Ghana,37,Yes,No,No,Yes,Yes,200,800,1200,4,Never had,Have now,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,No,Yes,No,No,Yes,Yes,Never had,Never had,Never had,,8,Never had,Never had,Never had,Have now
ID_OQ7QH9,Ghana,40,No,No,No,No,No,2500,4000,1000,5,Never had,Have now,0,Yes,Male,"Yes, sometimes",No,Never had,No,No,Yes,No,,Yes,Never had,Never had,Have now,,8,Never had,Never had,Never had,Never had
ID_OKDZGE,Kenya,31,Don’t know or N/A,Yes,No,Don't know,Yes,15000,9500,5000,8,,Have now,No,Yes,Female,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Yes,No,No,No,Never had,Never had,Never had,No,,,,,
ID_2QLGDV,Ghana,34,Yes,Yes,No,Yes,Yes,3000,500,5000,10,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, always",Yes,No,No,,Yes,Never had,Never had,Have now,,11,Never had,Never had,Never had,Never had
ID_L3RFJL,Ghana,48,Yes,No,No,No,Yes,2600,3000,8000,1,Never had,Never had,0,Yes,Female,"Yes, sometimes",No,Never had,"Yes, sometimes",Yes,No,No,Yes,Yes,Never had,Never had,Never had,,0,Never had,Have now,Never had,Never had
ID_F9TXMJ,Kenya,40,No,No,Yes,No,Yes,2300000,200000,12000000,5,,Have now,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,No,No,Yes,No,No,No,Never had,Never had,Have now,No,,,,,
ID_5TBDJG,DRC,43,No,No,No,Don't know,Yes,3500,1000,400,2,Never had,Have now,,,,,,,,,,,Yes,Yes,,,,Yes,,,,Used to have but don't have now,Have now
ID_NUP782,Uganda,50,Yes,Yes,Don’t know,No,No,300,1800,3600,17,Never had,,,Yes,Male,"Yes, sometimes",Yes,Never had,No,No,No,No,,,,,,No,0,Never had,Never had,,
ID_KH5840,Ghana,46,No,No,No,No,Yes,5000,30000,120000,7,Never had,Have now,0,Yes,Male,"Yes, sometimes",No,Never had,No,No,Yes,No,Yes,Yes,Never had,Never had,Never had,,5,Never had,Have now,Used to have but don’t have now,Used to have but don’t have now
ID_K711UZ,DRC,36,Yes,No,No,No,Yes,6000,1000,1600,2,Never had,Have now,,,,,,,,,,,No,Yes,Have now,Used to have but don't have now,Used to have but don't have now,Yes,,,,Never had,Used to have but don't have now
ID_LFVA6A,Kenya,23,Don’t know or N/A,Yes,No,Don't know,Yes,150000,1100000,2300000,1,,Have now,No,Yes,Male,"Yes, sometimes",No,Never had,Yes,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,Yes,No,Never had,Never had,Never had,Yes,,,,,
ID_OLAFSJ,Kenya,34,Don’t know or N/A,No,No,Don't know,Don't know,50000,109000,30000,6,,Have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,Yes,No,Never had,Never had,Never had,Yes,,,,,
ID_IM2L18,Kenya,38,Yes,No,No,No,No,450000,50000,450000,,,Never had,No,Yes,Male,"Yes, sometimes",No,Never had,Yes,Don?t know / doesn?t apply,Yes,No,Yes,No,Never had,Never had,Have now,Yes,3,,,,
ID_98CXGP,Uganda,38,Yes,No,No,No,No,300,43200,57600,0,Never had,Have now,,Yes,Male,No,Yes,Never had,"Yes, sometimes",No,Yes,Yes,,,,,,No,2,Never had,Have now,,
ID_1MQP8E,Uganda,35,No,No,No,No,Yes,50,3600,5400,2,Never had,,,Yes,Female,No,No,Never had,No,No,No,No,,,,,,No,6,Never had,Never had,,
ID_AV917R,Ghana,56,Yes,Yes,No,Yes,Yes,1500,1500,5000,3,Never had,Have now,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, sometimes",Yes,No,No,Yes,Yes,Never had,Never had,Never had,,2,Never had,Never had,Never had,Never had
ID_3OBKJQ,Kenya,72,Don’t know or N/A,Yes,No,No,Yes,10000,84000,300000,32,,Never had,No,Yes,Male,"Yes, sometimes",No,Never had,Yes,No,Yes,No,Yes,No,Never had,Never had,Never had,No,,,,,
ID_NYWBTF,Uganda,30,Yes,No,No,Don't know,Yes,50,2400,3600,4,Never had,,,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",Don't know,Yes,No,,,,,,No,0,Never had,Never had,,
ID_7DIVZG,Uganda,54,Yes,Yes,No,No,Yes,50,1560,720,0,Never had,,,No,Male,"Yes, always",No,Never had,"Yes, always",No,Yes,No,,,,,,No,3,Never had,Never had,,
ID_BEO4EU,Ghana,47,Yes,No,No,Yes,Yes,1500,2000,7500,1,Never had,Have now,0,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",Yes,No,No,Yes,Yes,Have now,Never had,Have now,,10,Never had,Never had,Never had,Never had
ID_BL4OTP,Kenya,62,No,Yes,No,No,Yes,2240000,400000,26880000,9,,Have now,Yes,Yes,Male,No,No,Have now,Yes,No,Yes,No,No,Yes,Have now,Never had,Have now,Yes,,,,,
ID_R3BFKB,Uganda,53,Yes,Yes,Don’t know,Don't know,Don't know,40,240,480,0,Never had,,Yes,No,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",Don't know, Do not know / N‎/A,No,,,,,,No,10,Never had,Never had,,
ID_H6T1NT,Ghana,37,No,No,Yes,No,No,8000,5000,50000,13,Never had,Never had,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",No,Yes,No,Yes,Yes,Never had,Never had,Have now,,5,Never had,Never had,Never had,Never had
ID_QTAYBG,DRC,34,Yes,No,No,Don't know,Don't know,1500,800,500,0,Never had,Have now,,,,,,,,,,,No,Yes,Used to have but don't have now,Used to have but don't have now,Have now,,,,,Never had,Used to have but don't have now
ID_5K9IT5,Uganda,40,Yes,No,No,No,Yes,720,,,11,Never had,,,No,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,Yes,No,,,,,,No,0,Never had,Never had,,
ID_6DTVLD,Uganda,47,Yes,No,No,No,Yes,50,1440,2400,20,Never had,,,No,Male,"Yes, sometimes",Yes,Never had,No,No,Yes,No,,,,,,Yes,0,Never had,Have now,,
ID_LXMV2Z,Uganda,28,Yes,Yes,No,Don't know,Don't know,150,720,1800,4,Never had,,,Yes,Female,"Yes, sometimes",No,Never had,No,Don't know, Do not know / N‎/A,No,,,,,,No,2,Never had,Never had,,
ID_JO7C5Q,Uganda,40,No,Don’t know or N/A,No,Don't know,Don't know,20,168,240,,Never had,,,No,Female,No,No,Never had,No,Don't know, Do not know / N‎/A,No,,,,,,No,1,Never had,Never had,,
ID_6JNSCZ,Kenya,27,Yes,No,No,No,Yes,500000,250000,360000,2,,Have now,No,No,Male,"Yes, sometimes",Yes,Have now,No,No,Yes,No,No,No,Never had,Never had,Have now,No,,,,,
ID_RBRXDY,DRC,58,Yes,No,No,Yes,Yes,2000,1200,5000,0,Never had,Have now,Yes,,,,,,,,,,No,Yes,,,,Yes,,,,Used to have but don't have now,Used to have but don't have now
ID_MHCBEO,Uganda,61,Yes,Yes,Don’t know,Don't know,Don't know,,,,1,Never had,,,No,Female,No,No,Never had,No,Don't know,Yes,No,,,,,,Yes,0,Never had,Never had,,
ID_8KPQPJ,Kenya,41,No,Yes,No,Don't know,Yes,800000,400000,9550000,3,,Have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,No,No,Never had,Never had,Used to have but don't have now,Yes,,,,Never had,Never had
ID_I5B9OI,Kenya,23,No,Yes,No,Yes,Yes,400000,480000,5200000,1,,Used to have but don't have now,No,Yes,Male,"Yes, sometimes",No,Never had,No,Yes,Yes,No,No,No,Never had,Never had,Never had,Yes,,,,Have now,Never had
